open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
125.46,125.57,123.26,123.45,121.78162093951,4554212.0,0.0000,1.0
126.3,126.45,123.27,125.16,123.468510950094,4445283.0,0.0000,1.0
126.35,126.75,126.06,126.09,124.385942359358,2724992.0,0.0000,1.0
126.58,127.25,125.64,126.41,124.701617682976,5061247.0,0.0000,1.0
126.37,127.02,125.455,126.97,125.254049499308,3204889.0,0.0000,1.0
125.81,126.545,125.12,125.85,124.149185866645,4058800.0,0.0000,1.0
124.9,126.19,124.76,125.89,124.188645282097,4275396.0,0.0000,1.0
125.55,126.05,124.56,125.4,123.705267442807,4043892.0,0.0000,1.0
126.0,126.7,125.27,125.73,124.030807620288,6725426.0,0.0000,1.0
130.15,130.98,125.84,126.36,124.652293413661,9749618.0,0.0000,1.0
126.5,126.98,125.3,126.32,124.612833998209,7014368.0,0.0000,1.0
128.14,128.68,127.35,127.78,126.053102662216,3193787.0,0.0000,1.0
128.3,128.72,126.8,127.82,126.092562077668,3657929.0,0.0000,1.0
128.46,129.84,127.31,128.14,126.408237401286,4180614.0,0.0000,1.0
128.01,128.39,126.0,127.9,126.171480908573,5621512.0,0.0000,1.0
130.4,130.8857,128.17,128.54,126.802831555809,3957542.0,0.0000,1.0
130.58,131.105,130.18,130.42,128.657424082065,3132430.0,0.0000,1.0
129.83,131.08,129.24,131.03,129.259180167711,2614402.0,0.0000,1.0
132.16,132.6,130.315,130.5,128.736342912969,3050581.0,0.0000,1.0
131.37,132.61,131.37,132.14,130.354178946511,2898759.0,0.0000,1.0
131.99,132.1499,130.89,131.6,129.821476837906,3382783.0,0.0000,1.0
130.97,132.61,130.77,132.06,130.275260115607,3840139.0,0.0000,1.0
129.47,131.23,129.42,131.09,129.31836929089,4524686.0,0.0000,1.0
130.16,131.48,129.1,129.22,127.473641618497,3561762.0,0.0000,1.0
130.12,130.35,129.18,129.71,127.957019457787,3279846.0,0.0000,1.0
129.18,129.66,128.8,129.34,127.592019864854,2889115.0,0.0000,1.0
126.47,130.255,126.47,129.31,127.562425303265,6524113.0,0.0000,1.0
123.36,125.4,122.88,125.29,123.596754050313,3812644.0,0.0000,1.0
123.81,124.93,122.6,123.37,121.702702108605,4651936.0,0.0000,1.0
127.0,127.215,124.01,124.05,122.373512171294,3549024.0,0.0000,1.0
126.9,127.15,125.66,126.57,124.859455344785,3856345.0,0.0000,1.0
124.31,126.16,124.19,125.94,124.237969551413,4588304.0,0.0000,1.0
124.08,124.52,122.93,123.69,122.018377432223,37400167.0,0.0000,1.0
122.96,124.82,121.92,124.7,123.014727672393,6440023.0,0.0000,1.0
122.99,123.35,121.71,123.28,121.613918423838,5989339.0,0.0000,1.0
126.49,126.64,123.2,124.65,122.965403403077,8114792.0,0.0000,1.0
125.15,128.19,124.85,125.58,123.882834812342,8188369.0,0.0000,1.0
126.12,127.29,125.13,125.45,123.754591712122,5990867.0,0.0000,1.0
